"","Fold Change","log2(FC)"
"alpha-hydroxyisovalerate",5.1309e-07,-20.894
"taurochenodeoxycholate",5.4609e-07,-20.804
"glutamine_degradant*",5.4609e-07,-20.804
"palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*",5.4609e-07,-20.804
"N-acetyl-aspartyl-glutamate (NAAG)",8.0396e-07,-20.246
"3-hydroxy-2-ethylpropionate",1.0641e-06,-19.842
"2-hydroxy-3-methylvalerate",1.1315e-06,-19.753
"3-hydroxybutyryl CoA",692780,19.402
"2,4-dihydroxybutyrate",1.4726e-06,-19.373
"nisinate (24:6n3)",1.7158e-06,-19.153
"14-HDoHE/17-HDoHE",1.9812e-06,-18.945
"anserine",2.0554e-06,-18.892
"carnosine",2.1426e-06,-18.832
"4-imidazoleacetate",2.2599e-06,-18.755
"tauroursodeoxycholate",2.3908e-06,-18.674
"arachidonoyl CoA",408220,18.639
"X-22162",2.4613e-06,-18.632
"1-margaroyl-GPE (17:0)*",2.538e-06,-18.588
"1-palmitoyl-GPE (16:0)",2.5489e-06,-18.582
"maleate",347390,18.406
"2,3-dihydroxyisovalerate",2.948e-06,-18.372
"homoarginine",338810,18.37
"formiminoglutamate",327960,18.323
"4-methylcatechol sulfate",3.0848e-06,-18.306
"1-ribosyl-imidazoleacetate*",3.3003e-06,-18.209
"X-07765",284650,18.119
"beta-muricholate",3.5278e-06,-18.113
"acetylcholine",3.5746e-06,-18.094
"gamma-aminobutyrate (GABA)",4.2122e-06,-17.857
"X-12100",230500,17.814
"1-linoleoyl-GPI* (18:2)*",4.4629e-06,-17.774
"3'-dephospho-CoA-glutathione*",219850,17.746
"pipecolate",4.5767e-06,-17.737
"X-12015",214380,17.71
"spermidine",4.7587e-06,-17.681
"histidine methyl ester",207170,17.66
"1-eicosenoyl-GPC (20:1)*",4.8363e-06,-17.658
"docosahexaenoylcarnitine (C22:6)*",4.9892e-06,-17.613
"1-docosahexaenoyl-GPE (22:6)*",5.0703e-06,-17.589
"1-linolenoyl-GPC (18:3)*",5.2684e-06,-17.534
"methionine sulfoxide",5.6166e-06,-17.442
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",6.193e-06,-17.301
"N,N-dimethyl-pro-pro",7.0338e-06,-17.117
"salicylate",7.3387e-06,-17.056
"arabitol/xylitol",7.7383e-06,-16.98
"2-aminooctanoate",7.7554e-06,-16.976
"taurohyodeoxycholic acid",7.7638e-06,-16.975
"N-(ADP-ribosyl)-arginine (2)*",121580,16.891
"1,5-anhydroglucitol (1,5-AG)",8.9074e-06,-16.777
"4-hydroxynonenal",9.1253e-06,-16.742
"S-adenosylmethionine (SAM)",100010,16.61
"stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*",97766,16.577
"arabonate/xylonate",1.0244e-05,-16.575
"CoA-glutathione*",96129,16.553
"1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*",93616,16.514
"linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*",90522,16.466
"C-glycosyltryptophan",1.149e-05,-16.409
"acetyl-CoA",83817,16.355
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*",1.212e-05,-16.332
"4-HDoHE",1.2266e-05,-16.315
"docosahexaenoyl ethanolamide",1.2483e-05,-16.29
"glucuronate",1.2539e-05,-16.283
"N-acetyl-2-aminooctanoate*",1.2895e-05,-16.243
"hexadecatrienoate (16:3n3)",1.3091e-05,-16.221
