"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"S-1-pyrroline-5-carboxylate",0.032005,-0.0069079,-0.0094661,0.0026432,-0.0025289,-0.040762,-0.0020276,0.018306,0.041586,-0.033093,-0.0084516,-0.32369
"putrescine",0.026271,-0.0017812,0.0032338,-0.00035221,-0.0018198,-0.01653,-0.029975,0.0080064,-0.0064217,-0.02971,-0.021162,-0.33723
"spermidine",0.029086,0.0038755,0.0015843,0.015466,-0.019128,0.0045769,-0.00066205,-0.0029579,0.0011206,-0.0039704,0.020269,-0.032955
"1-methylnicotinamide",0.0047127,-0.0051281,0.030283,0.0013495,0.0087146,-0.020616,0.020505,-0.026582,0.033853,-0.023127,0.02671,0.2598
"12,13-DiHOME",0.012542,-0.027073,-0.021255,0.018668,0.030851,0.045926,0.058577,0.020559,0.060374,-0.048983,0.05494,0.15225
"alpha-ketoglutarate",-0.03543,-0.0028377,0.0077575,-0.019698,-0.010626,-0.0088537,-0.049421,0.037558,0.067555,0.031058,-0.025047,-0.34036
"kynurenate",0.0056539,0.0078969,0.012946,0.024476,-0.063889,-0.033051,-0.0097698,0.021452,-0.10036,-0.03358,0.082499,0.36017
"3-hydroxyisobutyrate",-0.013036,-0.016109,-0.022684,0.0083244,0.0066404,-0.0029031,0.069127,-0.017835,0.056206,0.043304,0.0019478,0.53521
"3-hydroxy-3-methylglutarate",0.0098119,0.0074355,0.016524,-0.0060364,0.018453,-0.0017525,-0.02974,-0.032165,0.021265,0.0092379,-0.004851,-0.04108
"3-phosphoglycerate",-0.031062,0.061544,-0.004189,0.0058059,-0.018282,-0.0065207,-0.031427,-0.01405,-0.0038243,-0.021266,0.017684,0.16772
"cholate",-0.0047617,-0.080103,0.074544,0.083754,-0.096598,0.022661,0.073595,0.041529,-0.072769,-0.091669,-0.034994,-0.07171
"gamma-aminobutyrate (GABA)",0.037728,0.00056105,0.037413,-0.039123,0.0034284,-0.036685,0.032925,-0.016351,-0.0069411,-0.0080241,0.0049977,-0.00042162
"4-hydroxynonenal",-0.018451,-0.012138,0.029175,-0.034341,0.064496,0.045337,-0.071396,0.015904,0.043555,0.04163,0.01346,0.0049466
"hypoxanthine",0.035917,-0.01812,-0.00031656,-0.013256,0.0031249,-0.022505,0.013902,0.0044527,0.0080706,0.013934,0.0072291,0.0032938
"guanine",-0.0023314,-0.01506,-0.009153,0.00012196,-0.0040231,-0.0080323,-0.021919,0.0036917,-0.0036015,-0.0028453,-0.012074,0.0018708
"9,10-DiHOME",0.021966,-0.007676,-0.022205,-0.0086665,0.0058088,0.0045526,0.061132,0.01267,0.071736,-0.029028,0.050277,-0.013208
"linoleate (18:2n6)",0.046253,-0.041376,-0.026203,0.019252,0.017546,-0.017595,-0.012902,-0.024902,0.0053541,-0.050293,-0.0059599,0.0063632
"laurate (12:0)",0.018504,-0.024027,-0.01344,0.0022564,0.016485,-0.0082697,0.008359,0.0097363,0.029409,-0.0078173,0.017377,-0.0070758
"N6,N6,N6-trimethyllysine",0.0055672,0.012566,-0.0013882,0.0062224,0.0033922,-0.010694,0.0094587,0.018907,-0.010088,0.0086279,0.0094179,0.0017506
"N-formylmethionine",-0.0012487,-0.019356,-0.0079953,-0.0080308,-0.0059278,-0.023875,-0.00030882,0.0039482,0.0011045,0.017134,0.016312,-0.0011515
"S-adenosylhomocysteine (SAH)",0.030249,-0.0097182,0.0034025,-0.026935,0.0065332,-0.0044757,-0.0050248,0.011604,0.023284,0.011626,0.022942,-0.00028109
"adenosine 3',5'-cyclic monophosphate (cAMP)",0.0005183,-0.018782,-0.017505,-0.0029889,-0.0076621,0.0046132,-0.014588,0.01253,0.0086664,0.020201,-0.018226,0.0014863
"ADP",-0.014784,0.016569,0.007356,0.0031486,-0.0058426,-0.0075066,0.0011689,-0.012024,0.0099931,-0.013842,0.024865,-0.0065372
"AMP",-0.043134,0.0053733,-0.01286,0.011053,-0.011936,0.0035106,-0.0047021,-0.015659,0.0030337,-0.01598,-0.00072339,0.0019347
"ATP",0.0039434,0.031486,0.021996,0.017654,-0.067556,0.048116,0.04904,-0.042109,-0.01129,0.068354,0.08064,-0.016346
"2'-deoxyadenosine",-0.073756,-0.0091842,-0.016691,0.0080381,-0.032855,-0.015242,-0.021394,-0.0099378,0.024326,-0.020943,-0.021939,0.0030362
"5-methylthioadenosine (MTA)",-0.0054198,6.8149e-05,-0.0054867,-0.0043926,0.00053672,-0.0064413,-0.0035504,-0.0033444,-0.0049942,0.0030344,0.0078479,-0.00063104
"adenosine 5'-diphosphoribose (ADP-ribose)",-0.12132,0.032292,-0.011955,0.06114,-0.035807,0.033226,-0.0035059,-0.01832,0.0039044,0.0059755,-0.041385,-0.0063557
"AICA ribonucleotide",0.027974,-0.014649,-0.016625,0.065215,-0.031686,0.028478,-0.010376,0.0040863,-0.0084734,-0.0071077,-0.022966,0.011828
"allantoic acid",0.00011814,0.0060476,0.0073346,0.0063781,0.0063032,-0.0048104,0.00012262,0.0023809,0.0029591,0.0048822,-0.00010137,0.0026521
"ribose 1-phosphate",0.01154,-0.0043268,0.0057309,0.00094415,0.0011845,-0.0097687,0.0171,-0.012648,-0.0094183,0.013386,-0.0065072,0.0032811
"arachidonate (20:4n6)",0.05511,-0.036154,-0.020203,-0.0067682,0.019445,-0.026343,-0.019363,-0.042493,0.025582,-0.013955,-0.02576,0.0099481
"arachidonoyl CoA",-0.058373,0.024992,-0.045555,-0.049577,-0.043253,-0.050814,-0.036645,-0.045954,0.020666,0.061379,0.039681,0.0049052
"arginine",0.010016,0.0037517,-0.0041354,-0.0045981,-0.0092315,-0.01184,0.031248,0.0092557,-0.013775,0.0075785,0.0023914,-0.0023832
"argininosuccinate",0.051101,-0.0094178,0.0048551,-0.022337,0.016833,-0.029163,0.03507,-0.0032356,-0.0018616,0.028939,0.033607,-0.0080965
"ascorbate (vitamin C)",-0.03796,-0.066372,-0.05559,0.038735,-0.076092,0.025163,0.016765,0.052993,0.0038749,0.0142,0.0020817,-0.019218
"aspartate",0.0056388,-0.013823,-0.024152,-0.0098883,0.027462,-0.0064659,0.00092721,0.026694,-0.011848,0.0092859,0.046892,-0.0080828
"3-(4-hydroxyphenyl)lactate (HPLA)",0.017381,-0.021092,-0.030299,0.036068,-0.027307,0.013051,-0.0034719,-0.02677,0.011384,0.04993,0.030525,-0.0056851
"carnosine",0.014349,-0.0074901,0.043707,0.023046,-0.015664,0.060414,-0.010721,-0.018496,0.010493,-0.038079,-0.042174,-0.0014326
"biliverdin",0.0044651,0.012873,-0.0020702,-0.0095246,0.0016531,-0.010587,0.0085018,-0.0061037,0.011314,-0.016061,-0.0038708,0.0003041
"succinate",-0.075697,0.006625,0.0040641,0.029591,-0.019699,0.025562,-0.023871,-0.0254,0.031418,-0.0014352,-0.018092,-0.0037962
"3-hydroxybutyrate (BHBA)",-0.0058372,-0.0056826,-0.00010827,-0.007328,0.0035352,-0.0074445,0.0026319,-0.024222,0.0036215,0.0065342,0.013787,0.0018444
"cholesterol",0.002693,-0.00023926,0.0053432,-0.0032005,-0.0040439,0.010776,-0.00019137,0.0093236,0.0098931,-0.0064334,0.010306,0.00093604
"phosphocholine",0.016049,0.0011794,-0.018455,-0.0017551,0.0046013,-0.010325,0.018231,-0.020364,0.010026,-0.0041633,0.006028,0.0018356
"CoA-glutathione*",-0.13554,0.036115,-0.0075468,0.0019806,-0.024955,0.003364,-0.023702,-0.035139,0.00061442,0.032803,0.0098397,0.0022468
"CoA",-0.071757,0.045428,-0.02915,-0.011609,-0.063283,-0.026322,-0.067372,-0.021972,0.0071998,0.051489,0.018232,-0.0077504
"corticosterone",-0.013575,0.054208,0.034926,-0.030602,0.034992,-0.00035466,-0.034185,0.025045,0.0785,0.011759,-0.21954,0.036309
"creatinine",0.0047908,-0.0039822,-0.0080877,-0.0043987,-0.0054164,-0.0036965,-0.0060975,0.003679,-0.0015386,-0.0067646,0.0039837,0.0003092
"CMP",0.0042912,-0.0022728,-0.0098911,0.0065989,-0.00067814,-0.0065957,0.0061336,0.0096598,-0.0091945,-0.0070004,-0.0054813,0.0017747
"glucosamine 6-phosphate",0.083953,0.17615,-0.040051,0.07705,-0.029648,0.0080201,-0.019827,-0.038859,-0.017395,-0.016243,-0.020547,0.023283
"glucose 6-phosphate",0.081811,0.17123,-0.035249,0.079463,-0.041268,0.0044318,-0.013399,-0.04327,-0.018596,-0.017339,-0.027602,0.0027205
"mannose 6-phosphate",0.08058,0.1703,-0.03588,0.072245,-0.020592,0.0047951,-0.014727,-0.039498,-0.021368,-0.027874,-0.015583,0.009371
"sphingosine",0.017874,0.0017891,0.0029901,-0.016847,-0.010385,-6.631e-06,0.029128,-0.010593,-0.00679,0.0066057,-0.0036324,0.0039717
"dehydroascorbate",-0.023307,-0.0080269,-0.023,0.011677,-0.024176,0.0095068,-0.043856,0.04279,0.0046179,0.0073582,0.033159,-0.0020098
"deoxycholate",0.016324,0.025825,0.035521,-0.029069,0.01981,0.0081668,0.042835,0.084038,-0.0079724,-0.028142,0.037235,-0.0047064
"dihydroxyacetone phosphate (DHAP)",0.077124,-0.010182,-0.099955,-0.024986,-0.077937,0.056213,-0.0016952,0.05492,0.079122,0.10023,-0.09203,0.022696
"cystathionine",0.01705,-0.0027012,-0.0064304,0.020039,0.01895,-0.012898,-0.0070082,-0.024534,0.01282,-0.0020592,0.018402,0.00023213
"sphinganine",0.015056,-0.0025377,0.010057,0.01127,-0.0060083,0.020876,0.025286,-0.035221,-0.011286,-0.0001071,-0.017716,0.00046144
"FAD",-0.0098812,-0.0072152,-0.0074415,-0.015353,-0.0089339,0.0048414,-0.014528,0.00973,0.014217,0.002954,0.0067492,0.0030534
"fumarate",-0.0051446,-0.0032951,-0.0048751,-0.016953,0.0090739,-0.0046357,-0.011445,0.0010505,0.0011869,0.00027778,0.023936,-0.00032064
"gamma-glutamylglutamate",0.034885,0.014275,-0.006347,-0.010918,-0.032867,-0.045062,-0.0047204,-0.0055167,0.049285,0.012503,0.025536,-0.003114
"gluconate",0.038567,0.025936,0.0057386,0.006232,-0.012798,0.018714,-0.017952,0.0070469,-0.0061318,-0.031288,-0.0028778,0.0039525
"glutarate (C5-DC)",0.015826,-0.016439,-0.0059166,-0.012458,0.01343,-0.024557,-0.0022033,0.015756,-0.01384,0.048684,0.040359,-0.0012711
"glycine",0.0083894,5.688e-05,0.0049976,-0.007261,-0.0018849,-0.013682,0.0074718,0.01354,0.00046943,0.019005,0.012197,0.0055185
