"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"LSUN-00172",-2.041,6.2565,-0.54192,-1.7754,-1.0298,-0.55107,-1.3815,-2.7502,-3.0973,-3.7394,2.1677,-2.8614e-15
"LSUN-00173",-4.4561,0.031272,-0.11095,-2.9244,-0.54017,1.5351,4.4663,-0.71504,3.4699,1.2053,3.0179,1.4259e-15
"LSUN-00174",-6.1521,0.092957,2.1478,-7.8391,2.0288,-0.71203,0.45063,3.2475,-0.90141,-0.62534,-2.2476,1.785e-15
"LSUN-00178",-1.8176,2.9555,-6.0247,1.6476,-3.0961,-0.33312,-0.74572,3.6568,-2.5091,3.4682,0.88801,8.2703e-16
"LSUN-00179",-2.412,-1.7795,-2.9506,0.31353,1.219,-2.491,2.0829,-5.3171,-1.3633,2.3215,-2.2254,3.0605e-15
"LSUN-00180",-1.3318,1.0433,-6.4353,2.6829,-0.26411,-2.1953,-0.70937,1.104,4.0594,-3.1862,-1.4012,-1.6467e-15
"LSUN-00169",0.31749,8.0043,6.8996,4.6127,3.9201,-2.2115,0.048189,0.8442,0.87641,1.3283,-0.017789,-2.4887e-15
"LSUN-00170",20.285,-1.8989,-0.75554,-2.5589,1.2484,-1.3094,0.51737,0.50451,-0.13408,0.014032,0.54921,-4.8251e-15
"LSUN-00171",2.9615,3.5243,1.5701,-1.1411,-3.2324,5.7769,-3.2196,-1.8149,1.7283,1.1851,-1.7543,1.8848e-15
"LSUN-00175",0.32157,-3.6061,0.73079,4.8076,0.99397,4.6615,3.8656,1.3384,-2.3732,-2.1951,-0.82365,-5.9848e-16
"LSUN-00176",-4.156,-7.7496,-0.58296,0.74992,5.4144,1.078,-4.6248,-0.29002,0.14786,0.61399,1.6853,3.8086e-15
"LSUN-00177",-1.5192,-6.874,6.0537,1.4246,-6.6621,-3.2481,-0.75,0.19179,0.096659,-0.39015,0.16184,3.0462e-15
