"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"LSUN-00172",-4.399,-2.8729,2.0189,-3.0265,0.26933,-4.2198,-4.0624,0.40866
"LSUN-00173",-4.4266,-0.81736,-2.8993,-1.7217,-0.018388,-2.712,0.43503,-2.0596
"LSUN-00174",-5.436,-0.069142,-3.1685,-0.23854,6.3696,-0.67209,2.7728,-0.50384
"LSUN-00178",-4.869,-3.8823,2.8037,2.4648,-0.92401,2.9074,-1.5682,0.18843
"LSUN-00179",-3.3323,-2.2019,-3.6412,-0.97049,-2.6808,2.0494,3.264,1.2208
"LSUN-00180",-4.0951,-3.8166,0.99132,1.7454,-3.4486,2.5356,-0.87997,0.73069
"LSUN-00169",2.5214,4.494,5.0816,-7.7756,-0.074326,2.3786,0.92486,-3.2452
"LSUN-00170",13.141,-8.9616,-1.8031,0.27909,0.82542,-0.34451,0.0052806,-1.7144
"LSUN-00171",2.7129,1.1007,6.3212,3.2283,4.5313,-0.58144,1.5229,4.066
"LSUN-00175",3.4592,4.388,0.10205,0.20546,-6.2142,-3.3683,2.0662,2.6408
"LSUN-00176",0.83153,6.3478,-0.12417,7.3383,-0.4597,-0.33211,-0.82503,-4.9686
"LSUN-00177",3.8921,6.2912,-5.6825,-1.5286,1.8243,2.3592,-3.6555,3.2363
