"","comp 1","comp 2","comp 3","comp 4","comp 5"
"LSUN-00172",2.0824,-1.3486,2.659,-0.53437,-1.2412
"LSUN-00173",2.8163,1.587,-2.9281,3.2739,-0.53794
"LSUN-00174",2.2581,-0.56929,2.3612,2.6321,-0.64438
"LSUN-00178",2.4031,-0.2743,-0.48144,-2.6287,3.5512
"LSUN-00179",2.4079,-0.27966,-0.64843,-0.9301,-1.0878
"LSUN-00180",2.3709,-0.46247,-0.5521,-1.9828,-0.10583
"LSUN-00169",-2.2832,1.4397,1.8116,3.0888,1.5747
"LSUN-00170",-2.9657,-5.653,-2.2013,1.2594,0.18626
"LSUN-00171",-2.34,0.83914,0.94262,0.66836,2.4568
"LSUN-00175",-2.3823,0.91293,0.34895,-3.7524,-0.33297
"LSUN-00176",-1.8833,3.6195,-2.013,-0.16667,-0.82084
"LSUN-00177",-2.4844,0.18903,0.70113,-0.9276,-2.998
