"","FC","log2(FC)","raw.pval","-log10(p)"
"1-stearoyl-2-oleoyl-GPG (18:0/18:1)",1.4726e-06,-19.373,0.4789,6.741
"hydroxyproline",4.5767e-06,-17.737,0.0049683,6.5375
"N-acetylphenylalanine",5.1309e-07,-20.894,0.86369,6.4782
"2-phosphoglycerate",0.023936,-5.3847,0.45975,5.5733
"nervonoylcarnitine (C24:1)*",284650,18.119,0.70651,5.1779
"butyrylcarnitine (C4)",1.0641e-06,-19.842,0.53329,4.5574
"homostachydrine*",58.197,5.8629,0.34089,4.373
"acetyl-CoA",2.0554e-06,-18.892,0.088283,4.0096
"homoarginine",0.0076308,-7.0339,0.19566,3.9216
"1-stearoyl-GPG (18:0)",1.1315e-06,-19.753,0.21131,3.7741
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",347390,18.406,0.81893,3.7488
"pyridoxate",2.2599e-06,-18.755,0.23079,3.5938
"1-stearoyl-2-oleoyl-GPE (18:0/18:1)",0.083598,-3.5804,0.15342,3.5301
"2-hydroxystearate",100010,16.61,0.54147,3.5127
"N-acetylmethionine sulfoxide",0.21446,-2.2212,0.10416,3.2084
"NADH",0.014837,-6.0746,0.052806,3.0368
"pentadecanoate (15:0)",15.188,3.9248,0.13204,2.8236
"leucylglycine",7.7554e-06,-16.976,0.77902,2.7958
"1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or 6)*",36729,15.165,0.444,2.7847
"argininosuccinate",2.1426e-06,-18.832,0.36461,2.5981
"X-10445",2.1426e-06,-18.832,0.40222,2.5981
"3-hydroxyhexanoate",93616,16.514,0.39966,2.5157
"ergothioneine",0.25931,-1.9473,0.15541,2.4946
"thiamin monophosphate",17.885,4.1607,0.29651,2.4755
"N1-methyl-4-pyridone-3-carboxamide",0.14206,-2.8154,0.23196,2.4248
"1-margaroylglycerol (17:0)",0.065309,-3.9366,0.70734,2.4049
"methionine sulfone",1.149e-05,-16.409,0.61765,2.3715
"butenoylcarnitine (C4:1)",0.18555,-2.4301,0.96256,2.3399
"AICA ribonucleotide",408220,18.639,0.079049,2.325
"oxindolylalanine",408220,18.639,0.039678,2.325
"5,6-dihydrouridine",0.11039,-3.1793,0.12547,2.3242
"arachidate (20:0)",2.5031e-05,-15.286,0.45018,2.3038
"1-arachidonoyl-GPC (20:4n6)*",8.0396e-07,-20.246,0.097939,2.2981
"N-acetylthreonine",1.4905e-05,-16.034,0.634,2.2663
"xanthine",11.866,3.5687,0.32113,2.2345
"sphingomyelin (d18:2/21:0, d16:2/23:0)*",0.14881,-2.7484,0.65495,2.2023
"AMP",4.4565,2.1559,0.08284,2.1904
"NADHX*",4.4565,2.1559,0.11171,2.1904
"N-monomethylarginine",0.09199,-3.4424,0.077066,2.187
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",0.24581,-2.0244,0.69375,2.1482
"oleoylcholine",4.7252,2.2404,0.032575,2.1072
"2-hydroxydecanoate",6.193e-06,-17.301,0.25196,2.096
"heptadecasphingosine (d17:1)",10.38,3.3757,0.7127,2.0955
"docosapentaenoate (n6 DPA; 22:5n6)",3.3003e-06,-18.209,0.10656,2.0644
"proline",6.0232,2.5905,0.39022,2.0589
"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",2.948e-06,-18.372,0.72184,2.0144
